inhuman	human
unrealistically	realistically
unhurried	hurried
unconsciously	consciously
unshaved	shaved
undependable	dependable
unstained	stained
unquiet	quiet
inactivate	activate
unhappiness	happiness
decompression	compression
unlike	like
unchristian	christian
uncompromising	compromising
unclean	clean
indistinguishable	distinguishable
indigestible	digestible
unavailing	availing
involuntary	voluntary
unrepentant	repentant
undifferentiated	differentiated
infirm	firm
unhook	hook
unluckily	luckily
uncounted	counted
unsalted	salted
inboard	board
unsealed	sealed
delimit	limit
undistinguished	distinguished
inactivation	activation
unscramble	scramble
depress	depress
dislike	like
dissolve	dissolve
disgust	disgust
dislodge	lodge
disservice	service
disproportionately	proportionately
disengage	engage
dispatch	patch
disoriented	oriented
disgraceful	graceful
disorder	order
distrust	trust
dispossessed	possessed
nonresident	resident
dispense	dispense
implicitly	implicitly
discover	discover
implement	implement
improbable	probable
none	none
inhibitor	inhibitor
intramural	intramural
distinguishable	distinguishable
discussion	discussion
immoral	immoral
impartial	impartial
imbalance	imbalance
non	non
immobility	immobility
discorporate	discorporate
impossible	impossible
imperfect	imperfect
impractical	impractical
ungodly	ungodly
imports	imports
discourage	discourage
disease	disease
immaturity	immaturity
disgust	disgust
improper	improper
impracticable	impracticable
disagreement	disagreement
immeasurably	immeasurably
disoriented	oriented
discipline	discipline
decayed	decayed
immediately	immediately
disgraceful	graceful
disorder	order
distrust	trust
imperfectly	imperfectly
discussed	discussed
nonsense	nonsense
impatience	impatience
nonetheless	nonetheless
unwilling	unwilling
indecipherable	indecipherable
important	important
improperly	improperly
deceitful	deceitful
disability	ability
ungainly	ungainly
immutable	immutable
impressive	impressive
discrete	discrete
disordered	ordered
imported	imported
indestructible	indestructible
nonexistent	nonexistent
unremitting	unremitting
implicit	implicit
impatiently	impatiently
distressed	distressed
discontinuous	continuous
distinct	distinct
dismay	may
dismal	dismal
nonviolent	nonviolent
inveterate	inveterate
imitation	imitation
inscrutable	inscrutable
unforgettable	unforgettable
disliked	liked
imperishable	imperishable
impulsive	impulsive
discomfort	comfort
disable	disable
noncommissioned	noncommissioned
impossibly	impossibly
unknowingly	unknowingly
demythologize	demythologize
declamatory	declamatory
impaired	impaired
disreputable	disreputable
introspective	introspective
disrepute	disrepute
disunited	united
noncompliance	noncompliance
disloyalty	loyalty
impurity	impurity
discouraging	discouraging
impetuous	impetuous
unforgivable	unforgivable
disrespect	respect
untrustworthiness	untrustworthiness
disassembly	disassembly
unceasing	unceasing
discerning	discerning
disjointed	jointed
discontent	content
discontinue	continue
impact	impact
distributed	distributed
dissimilar	similar
disconcert	concert
delicately	delicately
import	import
nonionic	nonionic
disorderly	orderly
unknowing	unknowing
distress	distress
nonconformist	nonconformist
unequaled	unequaled
uncritically	uncritically
disunion	disunion
disruptive	disruptive
impassable	impassable
undercut	undercut
unwittingly	unwittingly
disapprovingly	approvingly
discourse	course
discriminatory	discriminatory
incredulously	incredulously
immaterial	immaterial
impertinent	impertinent
distribute	distribute
incongruity	incongruity
improvement	improvement
impiety	impiety
displace	place
antique	antique
uninitiated	uninitiated
disregard	regard
unseasonable	unseasonable
unidirectional	unidirectional
impudent	impudent
immorality	immorality
immortal	immortal
intern	intern
non-existent	non existent
impropriety	impropriety
deprive	deprive
imagination	imagination
informant	informant
discriminate	discriminate
disputable	putable
intercontinental	intercontinental
understatement	understatement
discharge	charge
dismissal	dismissal
